,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
207,Nick Leddy,D,82,7,24,31,5.5,3,4,0,1,18,6,0,123,5.7,1342,16:22,45.0,52,0.0,0.0,,2700000,2790629.0
208,Kyle Palmieri,RW,71,14,17,31,3.7,14,0,0,4,17,0,0,147,9.5,848,11:57,31.0,96,9.0,14.0,39.1,1466667,1208204.0
209,Dion Phaneuf,D,80,8,23,31,5.9,6,2,0,0,13,9,1,145,5.5,1885,23:34,156.0,227,0.0,1.0,0.0,6500000,7666213.0
210,Charlie Coyle,C,70,12,18,30,2.4,10,2,0,2,17,1,0,135,8.9,1196,17:05,37.0,108,192.0,266.0,41.9,900000,481143.0
211,Toby Enström,D,82,10,20,30,5.2,6,4,0,3,11,9,0,106,9.4,1960,23:54,142.0,37,1.0,0.0,100.0,5750000,6703926.0
212,Marián Gáborík,RW,41,11,19,30,3.8,10,1,0,0,13,6,0,103,10.7,697,17:00,10.0,15,0.0,2.0,0.0,7500000,8949261.0
213,Dwight King,LW,77,15,15,30,4.0,13,0,2,3,14,1,0,111,13.5,1158,15:03,17.0,114,2.0,3.0,40.0,750000,288685.0
214,Hampus Lindholm,D,78,6,24,30,6.6,5,1,0,1,21,3,0,116,5.2,1516,19:26,61.0,54,0.0,1.0,0.0,894167,473659.0
215,Rich Peverley,C,62,7,23,30,2.3,6,0,1,2,19,3,1,122,5.7,954,15:23,42.0,27,348.0,231.0,60.1,3250000,3496306.0
216,Daniel Winnik,C,76,6,24,30,1.9,4,0,2,2,22,0,2,115,5.2,1170,15:23,62.0,61,85.0,111.0,43.4,1800000,1635886.0
217,Sean Bergenheim,LW,62,16,13,29,2.7,13,3,0,3,12,1,0,190,8.4,1023,16:30,18.0,111,2.0,2.0,50.0,2750000,2854782.0
218,Erik Cole,LW,75,16,13,29,2.3,13,3,0,4,9,4,0,139,11.5,1137,15:10,21.0,88,19.0,22.0,46.3,4500000,5100116.0
219,Martin Erat,RW,70,3,26,29,2.0,3,0,0,0,22,4,0,53,5.7,1027,14:40,25.0,75,97.0,116.0,45.5,4500000,5100116.0
220,Boone Jenner,C,72,16,13,29,3.6,12,4,0,5,10,3,0,127,12.6,1014,14:05,36.0,211,14.0,16.0,46.7,778333,325038.0
221,Zack Kassian,RW,73,14,15,29,3.3,13,1,0,2,15,0,0,91,15.4,944,12:56,6.0,91,6.0,15.0,28.6,870000,442651.0
222,Olli Määttä,D,78,9,20,29,6.6,5,3,1,1,17,3,0,119,7.6,1443,18:30,112.0,41,0.0,0.0,,894167,473659.0
223,Antoine Roussel,LW,81,14,15,29,2.9,14,0,0,2,13,0,2,113,12.4,1080,13:20,49.0,146,19.0,25.0,43.2,612500,112266.0
224,Kris Russell,D,68,7,22,29,5.0,3,4,0,1,13,8,1,109,6.4,1573,23:08,201.0,42,0.0,0.0,,1500000,1250972.0
225,Tyler Toffoli,C,62,12,17,29,4.3,11,1,0,5,14,3,0,124,9.7,802,12:56,8.0,57,2.0,7.0,22.2,716667,245918.0
226,Jacob Trouba,D,65,10,19,29,5.9,9,0,1,1,16,3,0,121,8.3,1458,22:26,132.0,95,0.0,0.0,,894167,473659.0
227,Justin Abdelkader,LW,70,10,18,28,2.6,9,1,0,3,16,2,0,147,6.8,1070,15:17,31.0,172,23.0,32.0,41.8,1800000,1635886.0
228,Joe Colborne,C,80,10,18,28,1.8,9,1,0,1,15,3,0,80,12.5,1141,14:16,33.0,129,214.0,227.0,48.5,600000,96228.0
229,Matt Cooke,LW,82,10,18,28,2.5,9,0,1,3,15,2,1,104,9.6,1263,15:24,61.0,190,10.0,16.0,38.5,2500000,2534020.0
230,Tom Gilbert,D,73,3,25,28,4.4,1,2,0,1,21,4,0,93,3.2,1558,21:20,95.0,59,0.0,0.0,,900000,481143.0
231,Dany Heatley,LW,76,12,16,28,1.8,8,4,0,2,10,6,0,110,10.9,1126,14:49,30.0,33,7.0,10.0,41.2,7500000,8949261.0
232,Jonathan Huberdeau,LW,69,9,19,28,2.2,7,2,0,1,16,3,0,108,8.3,1081,15:40,23.0,73,5.0,6.0,45.5,894167,473659.0
233,Marcus Krüger,C,81,8,20,28,2.0,8,0,0,2,19,0,1,96,8.3,1124,13:52,70.0,22,438.0,335.0,56.7,1287500,978324.0
234,Andrew MacDonald,D,82,4,24,28,3.3,2,2,0,2,14,9,1,92,4.3,2020,24:38,242.0,69,0.0,0.0,,550000,32076.0
235,Mike Santorelli,C,49,10,18,28,3.3,10,0,0,3,16,0,2,91,11.0,910,18:34,44.0,23,215.0,204.0,51.3,550000,32076.0
236,Dustin Brown,RW,79,15,12,27,3.1,14,1,0,2,9,3,0,195,7.7,1251,15:50,12.0,246,6.0,13.0,31.6,3175000,3400077.0
237,Ryan Ellis,D,80,6,21,27,5.7,6,0,0,2,15,6,0,123,4.9,1285,16:04,97.0,57,0.0,0.0,,840000,404160.0
238,Morgan Rielly,D,73,2,25,27,3.1,1,1,0,0,14,11,0,96,2.1,1287,17:37,92.0,96,0.0,0.0,,894167,473659.0
239,Devin Setoguchi,RW,75,11,16,27,1.9,9,2,0,3,15,1,0,129,8.5,1129,15:03,37.0,143,5.0,15.0,25.0,3000000,3175544.0
240,Jarret Stoll,C,78,8,19,27,2.4,7,1,0,0,15,3,1,109,7.3,1237,15:52,60.0,202,678.0,561.0,54.7,3250000,3496306.0
241,Maxime Talbot,C,81,8,19,27,1.6,7,0,1,1,18,1,0,124,6.5,1309,16:10,46.0,116,100.0,125.0,44.4,1800000,1635886.0
242,Gabriel Bourque,LW,74,9,17,26,2.0,9,0,0,1,16,1,0,108,8.3,1024,13:50,34.0,70,0.0,1.0,0.0,775000,320762.0
243,Ryane Clowe,LW,43,7,19,26,2.3,4,3,0,1,14,5,0,74,9.5,694,16:08,19.0,82,1.0,2.0,33.3,4850000,5549183.0
244,Cory Conacher,C,79,7,19,26,2.0,6,1,0,2,19,0,0,100,7.0,1022,12:56,27.0,51,9.0,5.0,64.3,871250,444255.0
